股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2430,燦坤,20250602,32927,825069,25.25,25.25,24.95,25.15,-0.10,69
2430,燦坤,20250603,42290,1053226,25.00,25.05,24.80,24.80,-0.35,70
2430,燦坤,20250604,32188,804350,24.85,25.10,24.85,24.90,+0.10,70
2430,燦坤,20250605,27081,674247,24.90,25.05,24.80,24.95,+0.05,111
2430,燦坤,20250606,21814,542827,24.95,24.95,24.85,24.85,-0.10,48
2430,燦坤,20250609,83512,2049702,24.85,24.85,24.40,24.45,-0.40,119
2430,燦坤,20250610,30301,751248,24.45,24.95,24.45,24.55,+0.10,45
2430,燦坤,20250611,91197,2254606,24.55,24.90,24.55,24.90,+0.35,58
2430,燦坤,20250612,123050,3066901,24.70,25.00,24.70,24.85,-0.05,71
2430,燦坤,20250613,44585,1105559,24.85,24.90,24.65,24.65,-0.20,76
2430,燦坤,20250616,41945,1027040,24.60,24.60,24.40,24.55,-0.10,80
2430,燦坤,20250617,44960,1096865,24.45,24.45,24.30,24.45,-0.10,80
2430,燦坤,20250618,18024,441249,24.35,24.60,24.30,24.55,+0.10,47
2430,燦坤,20250619,41610,1015491,24.50,24.50,24.35,24.40,-0.15,60
2430,燦坤,20250620,58331,1422163,24.40,24.60,24.30,24.30,-0.10,96
