股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2440,太空梭,20250602,143183,2050406,14.35,14.60,14.15,14.50,-0.10,86
2440,太空梭,20250603,205316,2913765,14.50,14.50,14.00,14.40,-0.10,141
2440,太空梭,20250604,98803,1406430,14.05,14.35,14.05,14.30,-0.10,76
2440,太空梭,20250605,89654,1270303,14.15,14.30,14.05,14.20,-0.10,68
2440,太空梭,20250606,258472,3642568,14.15,14.45,13.85,14.35,+0.15,158
2440,太空梭,20250609,105010,1493137,14.40,14.40,14.05,14.30,-0.05,81
2440,太空梭,20250610,524179,7193471,14.25,14.25,13.20,13.75,-0.55,350
2440,太空梭,20250611,570104,7523305,13.35,13.65,12.80,13.45,-0.30,351
2440,太空梭,20250612,174480,2328691,13.30,13.50,13.20,13.50,+0.05,111
2440,太空梭,20250613,156430,2066275,13.35,13.50,13.10,13.20,-0.30,123
2440,太空梭,20250616,67439,885354,13.05,13.25,12.95,13.25,+0.05,67
2440,太空梭,20250617,378532,5191643,13.40,13.90,13.30,13.80,+0.55,251
2440,太空梭,20250618,155642,2125603,13.60,13.90,13.50,13.80, 0.00,114
2440,太空梭,20250619,207808,2760173,13.50,13.80,13.00,13.80, 0.00,203
2440,太空梭,20250620,185839,2464453,13.50,13.50,13.15,13.20,-0.60,137
