股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2451,創見,20250602,1226328,126179183,103.00,104.00,101.50,103.50,+0.50,959
2451,創見,20250603,1192539,124876147,104.50,105.50,103.00,105.50,+2.00,"1,065"
2451,創見,20250604,4104433,431450909,106.00,107.50,104.00,106.00,+0.50,"3,320"
2451,創見,20250605,3805082,395166375,106.00,106.50,102.50,103.50,-2.50,"2,591"
2451,創見,20250606,3996514,418170497,103.50,106.00,103.00,105.50,+2.00,"2,594"
2451,創見,20250609,4369543,453231869,107.00,107.50,101.50,104.00,-1.50,"2,749"
2451,創見,20250610,5332078,567965800,104.50,108.50,103.00,108.50,+4.50,"3,332"
2451,創見,20250611,6554755,710080734,110.50,112.00,106.00,108.50, 0.00,"4,418"
2451,創見,20250612,4373030,458881590,108.50,109.50,103.50,105.00,-3.50,"3,045"
2451,創見,20250613,1578036,164289742,104.50,105.50,103.50,103.50,-1.50,"1,377"
2451,創見,20250616,1055870,108383959,103.50,103.50,102.00,102.50,-1.00,874
2451,創見,20250617,1682682,173108993,103.50,104.50,102.00,102.50, 0.00,"1,237"
2451,創見,20250618,2684699,278084139,104.00,105.00,102.50,104.00,+1.50,"1,799"
2451,創見,20250619,1428208,146043993,104.50,104.50,101.50,101.50,-2.50,"1,102"
2451,創見,20250620,6222788,613623757,103.00,103.00,98.00,98.40,-3.10,"2,188"
