股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2455,全新,20250602,2887593,284067786,102.00,102.00,97.00,97.50,-6.00,"2,715"
2455,全新,20250603,1452641,142707053,99.00,99.80,97.20,97.60,+0.10,"1,266"
2455,全新,20250604,3690915,381731756,98.70,106.50,98.70,105.00,+7.40,"3,207"
2455,全新,20250605,1907264,196184404,103.50,105.00,101.50,102.00,-3.00,"1,744"
2455,全新,20250606,738261,75044594,102.00,103.50,101.00,101.50,-0.50,895
2455,全新,20250609,7103580,761851299,103.50,110.50,103.00,108.50,+7.00,"5,105"
2455,全新,20250610,7136747,778875819,109.50,111.00,106.00,110.50,+2.00,"5,368"
2455,全新,20250611,13835054,1612258560,111.00,121.50,110.50,119.00,+8.50,"9,709"
2455,全新,20250612,16703746,2046416704,119.00,126.00,118.50,122.50,+3.50,"11,133"
2455,全新,20250613,7434864,906568571,121.00,124.50,120.00,121.50,-1.00,"4,856"
2455,全新,20250616,6082782,745904546,120.00,124.50,119.00,122.50,+1.00,"4,506"
2455,全新,20250617,6278926,776486628,124.50,127.00,121.00,121.50,-1.00,"4,956"
2455,全新,20250618,4435012,545593156,122.00,125.50,121.00,122.00,+0.50,"3,398"
2455,全新,20250619,2800158,339960927,123.00,123.50,120.00,121.00,-1.00,"2,425"
2455,全新,20250620,2320364,269453660,119.50,120.00,114.50,114.50,X0.00,"2,242"
