股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2459,敦吉,20250602,103102,6550718,63.60,64.10,63.10,64.10, 0.00,96
2459,敦吉,20250603,48548,3104320,64.60,64.60,63.30,63.60,-0.50,82
2459,敦吉,20250604,284497,18433864,63.60,65.40,63.60,65.10,+1.50,149
2459,敦吉,20250605,85414,5591489,65.10,65.80,65.00,65.70,+0.60,71
2459,敦吉,20250606,73863,4871876,65.70,66.30,65.70,66.30,+0.60,62
2459,敦吉,20250609,100680,6719806,66.80,67.30,66.10,66.30, 0.00,116
2459,敦吉,20250610,52810,3472292,66.20,66.20,64.60,65.80,-0.50,156
2459,敦吉,20250611,54323,3564539,66.70,66.70,65.30,65.50,-0.30,106
2459,敦吉,20250612,43508,2849272,65.40,65.70,65.40,65.60,+0.10,140
2459,敦吉,20250613,100994,6604361,66.10,66.10,64.80,65.60, 0.00,79
2459,敦吉,20250616,116988,7563915,65.20,65.20,64.10,64.90,-0.70,119
2459,敦吉,20250617,270386,17590105,65.10,65.30,64.60,64.90, 0.00,185
2459,敦吉,20250618,245059,14919869,61.20,61.20,60.10,61.00,X0.00,253
2459,敦吉,20250619,70686,4256262,60.60,60.60,60.00,60.10,-0.90,85
2459,敦吉,20250620,84331,5024368,60.00,60.10,59.10,59.40,-0.70,75
