股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2474,可成,20250602,13473539,2875958863,210.00,215.50,210.00,211.50,+1.50,"10,362"
2474,可成,20250603,14902955,3154111397,210.00,214.50,209.00,210.50,-1.00,"8,461"
2474,可成,20250604,12623825,2676007663,212.00,213.50,210.00,212.00,+1.50,"6,987"
2474,可成,20250605,8466515,1796082953,211.50,213.00,211.00,212.00, 0.00,"4,509"
2474,可成,20250606,7126259,1515471332,212.00,214.50,211.50,212.50,+0.50,"3,797"
2474,可成,20250609,8025908,1701927686,213.00,215.00,210.00,212.00,-0.50,"4,169"
2474,可成,20250610,6056901,1283862214,211.50,212.50,211.00,212.00, 0.00,"3,531"
2474,可成,20250611,7888948,1677685946,212.50,214.00,212.00,212.50,+0.50,"4,390"
2474,可成,20250612,8329754,1779782913,213.00,217.50,212.50,213.50,+1.00,"4,085"
2474,可成,20250613,3531665,749506277,212.00,214.00,211.50,212.00,-1.50,"2,174"
2474,可成,20250616,4090607,845994490,211.00,211.00,205.00,207.50,-4.50,"2,934"
2474,可成,20250617,6852370,1440262850,208.00,212.00,206.00,212.00,+4.50,"3,810"
2474,可成,20250618,4848728,1032122543,213.00,215.00,211.00,212.50,+0.50,"3,029"
2474,可成,20250619,3168675,661409187,212.00,212.50,207.50,207.50,-5.00,"2,281"
2474,可成,20250620,6870012,1429249235,207.00,210.00,205.00,207.50, 0.00,"3,641"
