股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2485,兆赫,20250602,495008,5787173,12.00,12.00,11.55,11.55,-0.55,368
2485,兆赫,20250603,243862,2804718,11.55,11.70,11.40,11.40,-0.15,310
2485,兆赫,20250604,312017,3650544,11.50,11.85,11.50,11.70,+0.30,281
2485,兆赫,20250605,312943,3674370,11.60,11.85,11.60,11.80,+0.10,232
2485,兆赫,20250606,309113,3650904,11.75,11.90,11.70,11.75,-0.05,204
2485,兆赫,20250609,293850,3407788,11.85,11.85,11.50,11.55,-0.20,234
2485,兆赫,20250610,489146,5727290,11.65,11.85,11.55,11.65,+0.10,274
2485,兆赫,20250611,309047,3647092,11.75,11.90,11.65,11.85,+0.20,214
2485,兆赫,20250612,125548,1481852,11.80,11.90,11.75,11.75,-0.10,153
2485,兆赫,20250613,731584,8373469,11.60,11.65,11.30,11.35,-0.40,457
2485,兆赫,20250616,512272,5741143,11.40,11.40,11.05,11.30,-0.05,244
2485,兆赫,20250617,413834,4630657,11.25,11.40,11.05,11.15,-0.15,323
2485,兆赫,20250618,306276,3458890,11.20,11.40,11.20,11.30,+0.15,216
2485,兆赫,20250619,627096,6925495,11.20,11.35,10.90,11.05,-0.25,430
2485,兆赫,20250620,403688,4427976,11.05,11.15,10.80,10.90,-0.15,311
