股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2492,華新科,20250602,986021,77927621,80.70,80.70,78.10,78.50,-3.30,"1,039"
2492,華新科,20250603,434968,34214199,79.60,79.60,78.10,78.30,-0.20,498
2492,華新科,20250604,919137,73795907,78.50,81.30,78.50,80.70,+2.40,769
2492,華新科,20250605,515067,41463037,80.30,81.30,79.80,80.10,-0.60,610
2492,華新科,20250606,557086,45108270,80.30,81.30,80.20,81.20,+1.10,696
2492,華新科,20250609,632868,51574127,82.20,82.40,80.50,81.20, 0.00,758
2492,華新科,20250610,832960,68722226,82.20,83.00,81.90,82.50,+1.30,875
2492,華新科,20250611,619260,51184290,82.60,83.00,82.00,82.90,+0.40,756
2492,華新科,20250612,346079,28571221,82.90,82.90,82.10,82.20,-0.70,452
2492,華新科,20250613,629235,50995844,81.50,81.90,80.10,80.70,-1.50,701
2492,華新科,20250616,495219,40044917,80.00,81.60,79.60,81.50,+0.80,667
2492,華新科,20250617,2544256,213725557,82.60,85.70,82.50,85.50,+4.00,"2,204"
2492,華新科,20250618,2209710,184576347,83.80,84.70,82.00,83.40,-2.10,"2,129"
2492,華新科,20250619,1196076,97793999,83.00,83.10,81.00,81.00,-2.40,"1,114"
2492,華新科,20250620,2466706,194815627,81.00,81.00,78.60,78.60,-2.40,"1,484"
