股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2496,卓越,20250602,37739,2727686,72.10,72.60,71.50,72.40,-0.70,50
2496,卓越,20250603,44489,3216363,72.70,72.90,72.00,72.20,-0.20,52
2496,卓越,20250604,18715,1353095,72.50,72.80,72.10,72.80,+0.60,32
2496,卓越,20250605,27822,2015765,72.80,72.80,72.00,72.80, 0.00,49
2496,卓越,20250606,11106,803017,72.30,72.50,72.20,72.20,-0.60,26
2496,卓越,20250609,24314,1752766,72.00,72.50,71.90,72.00,-0.20,102
2496,卓越,20250610,25185,1830534,72.50,73.50,72.30,72.60,+0.60,31
2496,卓越,20250611,23593,1703655,72.50,73.00,71.60,72.50,-0.10,33
2496,卓越,20250612,14118,1018655,72.50,72.50,72.00,72.00,-0.50,20
2496,卓越,20250613,19054,1372698,72.00,72.50,71.80,71.90,-0.10,25
2496,卓越,20250616,7117,515948,73.60,73.60,72.10,72.30,+0.40,14
2496,卓越,20250617,10399,753720,72.50,72.60,72.20,72.50,+0.20,18
2496,卓越,20250618,4491,325401,72.30,72.50,72.30,72.50, 0.00,19
2496,卓越,20250619,12384,895967,72.10,72.90,72.10,72.40,-0.10,26
2496,卓越,20250620,16559,1198540,72.40,72.70,72.10,72.40, 0.00,32
