股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2505,國揚,20250602,159053,3065951,19.45,19.50,19.10,19.15,-0.60,148
2505,國揚,20250603,87691,1682041,19.05,19.30,19.05,19.15, 0.00,92
2505,國揚,20250604,187342,3626262,19.05,19.60,19.05,19.35,+0.20,144
2505,國揚,20250605,66421,1281108,19.30,19.40,19.20,19.30,-0.05,68
2505,國揚,20250606,61409,1187100,19.25,19.40,19.25,19.30, 0.00,59
2505,國揚,20250609,86137,1645417,19.30,19.30,19.00,19.10,-0.20,97
2505,國揚,20250610,182337,3560742,19.30,19.80,19.10,19.70,+0.60,171
2505,國揚,20250611,162632,3145871,19.60,19.60,19.15,19.60,-0.10,211
2505,國揚,20250612,113844,2190726,19.55,19.55,19.15,19.40,-0.20,116
2505,國揚,20250613,249991,4750608,19.10,19.20,18.85,19.15,-0.25,207
2505,國揚,20250616,358474,6762660,19.00,19.10,18.70,18.80,-0.35,242
2505,國揚,20250617,122494,2336981,18.75,19.35,18.75,19.35,+0.55,117
2505,國揚,20250618,107953,2086510,19.30,19.50,19.10,19.35, 0.00,108
2505,國揚,20250619,197468,3756479,19.10,19.20,18.80,19.00,-0.35,169
2505,國揚,20250620,2851472,53204518,19.05,19.05,18.65,18.65,-0.35,258
