股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2527,宏璟,20250602,172003,5002039,29.30,29.45,28.95,29.00,-0.95,168
2527,宏璟,20250603,101073,2928947,29.35,29.35,28.70,28.70,-0.30,126
2527,宏璟,20250604,118306,3448220,28.80,29.35,28.80,29.05,+0.35,92
2527,宏璟,20250605,97318,2815821,29.00,29.10,28.70,28.90,-0.15,103
2527,宏璟,20250606,124257,3607276,28.70,29.15,28.70,28.90, 0.00,99
2527,宏璟,20250609,63419,1838816,29.10,29.15,28.70,28.80,-0.10,66
2527,宏璟,20250610,153622,4478536,29.15,29.35,28.80,28.80, 0.00,117
2527,宏璟,20250611,156625,4470475,28.85,28.85,28.35,28.50,-0.30,167
2527,宏璟,20250612,71590,2035295,28.50,28.65,28.35,28.40,-0.10,84
2527,宏璟,20250613,159118,4496792,28.15,28.50,27.85,28.45,+0.05,141
2527,宏璟,20250616,71800,2017406,28.15,28.20,27.95,28.05,-0.40,101
2527,宏璟,20250617,143069,3993833,28.05,28.20,27.80,27.90,-0.15,178
2527,宏璟,20250618,96818,2701342,27.90,28.05,27.70,27.80,-0.10,135
2527,宏璟,20250619,247735,6809846,27.75,27.80,27.35,27.40,-0.40,216
2527,宏璟,20250620,306561,8301213,27.35,27.40,26.90,27.05,-0.35,221
