股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2536,宏普,20250602,219001,6602880,30.55,30.55,30.00,30.15,-0.35,114
2536,宏普,20250603,107323,3225897,30.20,30.30,29.95,30.05,-0.10,104
2536,宏普,20250604,196153,5909540,30.60,30.60,29.95,30.05, 0.00,118
2536,宏普,20250605,71198,2137164,30.10,30.10,29.95,30.00,-0.05,64
2536,宏普,20250606,155723,4724588,30.00,30.50,30.00,30.50,+0.50,131
2536,宏普,20250609,108836,3324407,30.70,30.75,30.35,30.40,-0.10,106
2536,宏普,20250610,115409,3529405,30.40,30.70,30.35,30.60,+0.20,99
2536,宏普,20250611,140719,4252655,30.40,30.40,30.05,30.40,-0.20,107
2536,宏普,20250612,104960,3164742,30.20,30.25,30.05,30.10,-0.30,94
2536,宏普,20250613,181497,5431751,30.00,30.05,29.80,29.90,-0.20,141
2536,宏普,20250616,159711,4736443,29.80,29.80,29.55,29.65,-0.25,121
2536,宏普,20250617,192543,5706790,29.75,29.80,29.55,29.60,-0.05,98
2536,宏普,20250618,72400,2142857,29.70,29.70,29.55,29.60, 0.00,61
2536,宏普,20250619,222534,6539932,29.55,29.60,29.25,29.25,-0.35,222
2536,宏普,20250620,859001,25668376,29.40,30.10,28.80,30.10,+0.85,183
