股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2548,華固,20250602,1475012,162795251,112.50,112.50,109.50,110.00,-2.50,"1,226"
2548,華固,20250603,609621,68186296,111.00,112.50,111.00,111.50,+1.50,561
2548,華固,20250604,642277,71303514,112.00,112.50,110.50,110.50,-1.00,816
2548,華固,20250605,367424,40744117,111.00,112.00,110.50,110.50, 0.00,619
2548,華固,20250606,479082,53194712,110.50,111.50,110.50,111.00,+0.50,693
2548,華固,20250609,296614,33048224,112.00,112.00,111.00,111.50,+0.50,498
2548,華固,20250610,808424,90416128,111.50,113.00,111.00,111.00,-0.50,848
2548,華固,20250611,774760,85791017,111.50,112.00,110.00,111.50,+0.50,737
2548,華固,20250612,292959,32591733,112.00,112.00,110.50,111.50, 0.00,374
2548,華固,20250613,543391,60381642,111.50,112.50,110.00,110.00,-1.50,575
2548,華固,20250616,1015392,110828159,110.00,110.00,108.00,109.00,-1.00,"1,079"
2548,華固,20250617,560102,62167271,110.00,111.50,109.50,111.00,+2.00,662
2548,華固,20250618,707118,77711533,110.50,111.50,109.50,109.50,-1.50,654
2548,華固,20250619,996713,107781437,109.50,110.00,107.00,107.00,-2.50,"1,004"
2548,華固,20250620,615500,65702041,107.00,107.50,106.00,106.50,-0.50,758
