股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2641,正德,20250602,3232000,65745000,20.80,20.80,20.00,20.05,-0.45,"1,699"
2641,正德,20250603,2968000,59887000,20.20,20.35,20.00,20.20,0.15,"1,394"
2641,正德,20250604,2115000,42863000,20.35,20.40,20.15,20.25,0.05,"1,150"
2641,正德,20250605,3936000,78824000,20.35,20.35,19.85,19.90,-0.35,"2,009"
2641,正德,20250606,2638000,52758000,20.00,20.10,19.85,19.90,0.00,"1,156"
2641,正德,20250609,2165000,42913000,20.05,20.05,19.70,19.70,-0.20,"1,256"
2641,正德,20250610,2909000,58693000,20.05,20.30,20.05,20.20,0.50,"1,442"
2641,正德,20250611,2301000,46369000,20.20,20.35,20.05,20.10,-0.10,"1,039"
2641,正德,20250612,1413000,28431000,20.20,20.25,20.00,20.15,0.05,819
2641,正德,20250613,5102000,104108000,20.35,20.55,20.25,20.35,0.20,"2,302"
2641,正德,20250616,3013000,61387000,20.25,20.60,20.00,20.45,0.10,"1,472"
2641,正德,20250617,2103000,42525000,20.50,20.55,20.10,20.10,-0.35,"1,272"
2641,正德,20250618,2057000,41155000,20.15,20.15,19.95,20.00,-0.10,"1,136"
2641,正德,20250619,2273000,45001000,20.00,20.00,19.70,19.75,-0.25,"1,341"
2641,正德,20250620,3895000,75046000,19.70,19.70,19.00,19.25,-0.50,"1,895"
