股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2885,元大金,20250602,31132967,976844364,31.25,31.65,30.90,31.60,+0.25,"10,320"
2885,元大金,20250603,50768841,1639920691,31.80,32.55,31.65,32.55,+0.95,"12,305"
2885,元大金,20250604,30755801,1002826642,32.50,32.85,32.15,32.60,+0.05,"9,316"
2885,元大金,20250605,21343755,689222295,32.60,32.75,32.10,32.15,-0.45,"9,507"
2885,元大金,20250606,18814660,610708932,32.40,32.70,32.30,32.45,+0.30,"7,896"
2885,元大金,20250609,20507678,672460901,32.50,33.00,32.40,32.85,+0.40,"8,137"
2885,元大金,20250610,24235319,795686668,32.60,32.95,32.45,32.90,+0.05,"9,388"
2885,元大金,20250611,23154927,759830230,32.90,33.10,32.55,32.95,+0.05,"8,967"
2885,元大金,20250612,26706457,887309487,32.95,33.40,32.95,33.30,+0.35,"7,753"
2885,元大金,20250613,20309044,675495016,33.10,33.40,33.00,33.30, 0.00,"6,760"
2885,元大金,20250616,26631096,897113036,33.10,33.80,33.10,33.70,+0.40,"9,186"
2885,元大金,20250617,30996667,1052432520,33.85,34.10,33.75,33.75,+0.05,"10,780"
2885,元大金,20250618,25477382,866333008,33.75,34.10,33.70,34.10,+0.35,"12,804"
2885,元大金,20250619,21026259,713562424,33.95,34.10,33.80,33.80,-0.30,"11,396"
2885,元大金,20250620,82690655,2781953096,33.70,34.10,33.55,33.55,-0.25,"13,783"
