股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2908,特力,20250602,529185,10905750,20.80,20.80,20.45,20.60,-0.05,206
2908,特力,20250603,521174,10771757,20.70,20.75,20.55,20.65,+0.05,144
2908,特力,20250604,537168,11121321,20.75,20.80,20.65,20.75,+0.10,173
2908,特力,20250605,529456,10973513,20.80,20.80,20.65,20.75, 0.00,96
2908,特力,20250606,551130,11389935,20.75,20.75,20.60,20.65,-0.10,101
2908,特力,20250609,523504,10810013,20.65,20.65,20.60,20.65, 0.00,83
2908,特力,20250610,629258,12955151,20.70,20.70,20.45,20.55,-0.10,201
2908,特力,20250611,547432,11219850,20.50,20.55,20.45,20.50,-0.05,144
2908,特力,20250612,553495,11341942,20.50,20.50,20.45,20.50, 0.00,126
2908,特力,20250613,751425,15477827,20.50,20.90,20.45,20.90,+0.40,213
2908,特力,20250616,1240240,24675763,20.00,20.05,19.75,20.00,X0.00,368
2908,特力,20250617,532571,10633834,20.00,20.05,19.85,20.00, 0.00,116
2908,特力,20250618,560065,11163144,20.00,20.00,19.80,20.00, 0.00,169
2908,特力,20250619,653650,12967531,20.00,20.00,19.70,19.95,-0.05,245
2908,特力,20250620,468240,9307644,19.95,19.95,19.80,19.95, 0.00,161
