股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2916,滿心,20250602,29000,1498000,51.80,51.80,50.20,50.20,0.00,20
2916,滿心,20250603,16000,801000,50.30,50.40,50.20,50.40,0.20,33
2916,滿心,20250604,84000,4223000,50.50,50.60,49.85,49.85,-0.55,150
2916,滿心,20250605,20000,1023000,49.90,50.10,49.90,50.10,0.25,32
2916,滿心,20250606,19000,961000,49.90,50.80,49.90,50.50,0.40,26
2916,滿心,20250609,37000,1904000,50.90,51.10,50.60,51.10,0.60,30
2916,滿心,20250610,43000,2217000,51.10,51.20,50.80,51.20,0.10,87
2916,滿心,20250611,40000,2042000,51.60,51.60,51.10,51.40,0.20,66
2916,滿心,20250612,50000,2557000,51.00,51.30,51.00,51.30,-0.10,40
2916,滿心,20250613,79000,4041000,51.30,52.00,50.50,50.50,-0.80,78
2916,滿心,20250616,37000,1861000,50.50,51.00,50.50,50.70,0.20,52
2916,滿心,20250617,26000,1332000,50.70,51.00,50.50,50.50,-0.20,28
2916,滿心,20250618,28000,1422000,51.00,51.10,50.50,50.90,0.40,34
2916,滿心,20250619,35000,1787000,51.00,51.10,50.00,50.30,-0.60,39
2916,滿心,20250620,36000,1788000,51.00,51.00,50.10,50.50,0.20,42
