股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2924,宏太-KY,20250602,1000,29000,29.10,29.10,29.10,29.10,-1.10,1
2924,宏太-KY,20250603,2000,59000,29.55,29.80,29.55,29.80,0.70,3
2924,宏太-KY,20250604,1000,33000,30.45,30.45,30.45,30.45,0.65,3
2924,宏太-KY,20250605,7000,208000,29.20,30.40,28.90,30.40,-0.05,8
2924,宏太-KY,20250606,7000,215000,29.55,30.35,29.30,30.35,-0.05,11
2924,宏太-KY,20250609,12000,360000,30.25,30.25,28.10,28.30,-2.05,13
2924,宏太-KY,20250610,2000,57000,28.50,28.50,28.50,28.50,0.20,2
2924,宏太-KY,20250611,0,0,--,--,--,--,0.00,0
2924,宏太-KY,20250612,1000,29000,28.65,28.65,28.65,28.65,0.15,1
2924,宏太-KY,20250613,3000,88000,28.55,28.55,28.40,28.40,-0.25,5
2924,宏太-KY,20250616,1000,29000,28.70,28.70,28.70,28.70,0.30,1
2924,宏太-KY,20250617,0,0,--,--,--,--,0.00,0
2924,宏太-KY,20250618,0,0,--,--,--,--,0.00,0
2924,宏太-KY,20250619,1000,29000,29.20,29.20,29.20,29.20,0.50,1
2924,宏太-KY,20250620,0,0,--,--,--,--,0.00,0
