股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2941,米斯特,20250602,0,1000,--,--,--,--,0.00,7
2941,米斯特,20250603,0,0,--,--,--,--,0.00,2
2941,米斯特,20250604,0,1000,--,--,--,--,0.00,5
2941,米斯特,20250605,1000,52000,52.00,52.00,52.00,52.00,0.40,1
2941,米斯特,20250606,1000,53000,52.90,52.90,52.90,52.90,0.90,3
2941,米斯特,20250609,2000,120000,53.60,53.60,53.60,53.60,0.70,7
2941,米斯特,20250610,2000,104000,51.50,51.50,51.50,51.50,-2.10,3
2941,米斯特,20250611,0,5000,--,--,--,--,0.00,5
2941,米斯特,20250612,0,1000,--,--,--,--,0.00,3
2941,米斯特,20250613,1000,54000,52.60,52.60,52.60,52.60,0.40,8
2941,米斯特,20250616,0,0,--,--,--,--,0.00,1
2941,米斯特,20250617,0,1000,--,--,--,--,0.00,3
2941,米斯特,20250618,1000,53000,52.20,52.20,52.20,52.20,-0.40,4
2941,米斯特,20250619,1000,54000,54.00,54.00,54.00,54.00,1.80,2
2941,米斯特,20250620,1000,59000,55.70,55.70,55.70,55.70,1.70,8
