股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3003,健和興,20250602,326075,17394312,55.00,55.00,52.50,52.50,-2.60,517
3003,健和興,20250603,152275,8005884,52.50,53.00,52.20,52.20,-0.30,172
3003,健和興,20250604,186575,9909317,53.10,53.40,52.70,52.80,+0.60,226
3003,健和興,20250605,238383,12731001,52.80,53.80,52.80,53.40,+0.60,250
3003,健和興,20250606,162963,8738376,53.30,53.90,53.20,53.60,+0.20,141
3003,健和興,20250609,234071,12365820,53.80,54.10,52.50,52.60,-1.00,259
3003,健和興,20250610,239886,12832416,52.80,53.90,52.80,53.30,+0.70,232
3003,健和興,20250611,209883,11247486,53.80,54.00,53.20,53.70,+0.40,205
3003,健和興,20250612,202269,10880536,53.70,54.30,53.00,53.80,+0.10,201
3003,健和興,20250613,413254,21598478,53.40,53.50,51.40,51.40,-2.40,556
3003,健和興,20250616,275730,14035469,51.40,51.40,50.60,50.90,-0.50,245
3003,健和興,20250617,212884,10979520,51.30,52.00,51.20,51.90,+1.00,248
3003,健和興,20250618,113246,5912208,51.90,52.60,51.90,52.00,+0.10,116
3003,健和興,20250619,226536,11556836,52.00,52.00,50.60,50.70,-1.30,260
3003,健和興,20250620,241763,12085867,50.30,50.70,49.40,50.00,-0.70,255
