股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3013,晟銘電,20250602,4982144,473530188,97.30,97.60,93.50,95.50,-2.70,"4,011"
3013,晟銘電,20250603,3351342,321290551,95.50,97.00,95.00,95.30,-0.20,"2,804"
3013,晟銘電,20250604,9719787,969340057,96.60,101.00,96.60,100.50,+5.20,"7,433"
3013,晟銘電,20250605,9072311,928225986,101.50,104.50,101.00,102.50,+2.00,"6,756"
3013,晟銘電,20250606,3149513,318414914,101.00,102.50,100.00,101.00,-1.50,"2,144"
3013,晟銘電,20250609,5751911,584712001,104.00,104.00,100.50,101.50,+0.50,"3,748"
3013,晟銘電,20250610,19493269,2106442308,102.50,111.50,102.00,111.50,+10.00,"15,117"
3013,晟銘電,20250611,57855379,6839189193,114.50,122.00,114.00,117.00,+5.50,"39,621"
3013,晟銘電,20250612,17512757,2070752454,117.00,120.00,116.50,118.50,+1.50,"11,682"
3013,晟銘電,20250613,8397708,970662394,117.50,117.50,114.00,115.50,-3.00,"6,388"
3013,晟銘電,20250616,43146283,5294397617,115.00,127.00,113.50,126.00,+10.50,"28,835"
3013,晟銘電,20250617,33570380,4208414420,126.50,128.50,122.00,123.00,-3.00,"22,911"
3013,晟銘電,20250618,44663066,5818350299,124.00,135.00,123.50,135.00,+12.00,"25,579"
3013,晟銘電,20250619,59437958,8165541129,136.50,142.00,133.50,136.00,+1.00,"40,772"
3013,晟銘電,20250620,41186405,5528948352,135.50,140.00,128.50,128.50,-7.50,"26,916"
