股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3040,遠見,20250602,90672,3994016,44.60,44.60,43.85,44.15,+0.05,83
3040,遠見,20250603,115078,5146275,44.40,45.45,44.25,45.00,+0.85,114
3040,遠見,20250604,429648,19550150,45.00,46.45,44.60,45.20,+0.20,513
3040,遠見,20250605,78527,3546963,45.20,45.45,44.85,44.90,-0.30,155
3040,遠見,20250606,86391,3868615,45.10,45.45,44.60,44.70,-0.20,74
3040,遠見,20250609,232523,10277430,44.50,44.65,43.80,44.15,-0.55,311
3040,遠見,20250610,264545,11694344,44.20,44.75,43.90,44.40,+0.25,203
3040,遠見,20250611,367516,16369644,44.40,45.00,44.10,44.50,+0.10,415
3040,遠見,20250612,299731,13173842,44.50,44.50,43.60,44.15,-0.35,256
3040,遠見,20250613,285758,12592826,44.00,44.30,43.80,43.95,-0.20,215
3040,遠見,20250616,1120634,50979207,44.40,46.50,44.35,45.15,+1.20,826
3040,遠見,20250617,367422,16583718,45.20,45.50,44.90,45.05,-0.10,303
3040,遠見,20250618,726187,33257185,45.40,46.15,45.30,45.65,+0.60,436
3040,遠見,20250619,4042972,198655884,48.90,50.20,47.45,50.20,+4.55,"2,709"
3040,遠見,20250620,2186144,120674331,55.20,55.20,55.20,55.20,+5.00,"4,390"
