股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3052,夆典,20250602,589704,7632642,13.00,13.10,12.80,12.85, 0.00,314
3052,夆典,20250603,246312,3163902,12.90,12.95,12.75,12.80,-0.05,205
3052,夆典,20250604,221714,2848570,12.85,12.95,12.80,12.85,+0.05,161
3052,夆典,20250605,572281,7320906,12.90,12.95,12.70,12.75,-0.10,199
3052,夆典,20250606,211495,2707934,12.80,12.85,12.75,12.85,+0.10,164
3052,夆典,20250609,698898,8847329,12.95,12.95,12.55,12.70,-0.15,331
3052,夆典,20250610,4651884,63257055,13.45,13.90,13.35,13.50,+0.80,"2,505"
3052,夆典,20250611,5152859,71308705,14.10,14.15,13.55,13.95,+0.45,"1,871"
3052,夆典,20250612,1847130,25819117,14.00,14.15,13.85,13.95, 0.00,821
3052,夆典,20250613,1597723,22090687,14.00,14.00,13.65,13.85,-0.10,806
3052,夆典,20250616,1575459,21931190,13.85,14.00,13.80,14.00,+0.15,736
3052,夆典,20250617,1532492,21559799,14.05,14.30,13.80,13.80,-0.20,822
3052,夆典,20250618,904414,12452341,14.00,14.00,13.65,13.75,-0.05,515
3052,夆典,20250619,1866220,24967364,13.75,13.75,13.15,13.20,-0.55,752
3052,夆典,20250620,895488,11926153,13.20,13.50,13.20,13.40,+0.20,519
