股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3066,李洲,20250602,77000,1209000,16.10,16.10,15.40,15.70,-0.40,67
3066,李洲,20250603,120000,1858000,15.50,15.85,15.40,15.40,-0.30,163
3066,李洲,20250604,33000,507000,15.45,15.75,15.40,15.50,0.10,32
3066,李洲,20250605,68000,1071000,15.70,16.10,15.70,15.70,0.20,48
3066,李洲,20250606,36000,567000,15.90,15.90,15.60,15.80,0.10,33
3066,李洲,20250609,103000,1641000,15.75,16.15,15.60,15.90,0.10,64
3066,李洲,20250610,100000,1515000,14.70,15.75,14.70,15.60,-0.30,96
3066,李洲,20250611,73000,1104000,15.30,15.30,15.10,15.30,-0.30,98
3066,李洲,20250612,75000,1150000,15.30,15.75,15.20,15.20,-0.10,57
3066,李洲,20250613,57000,861000,15.35,15.35,14.90,14.95,-0.25,43
3066,李洲,20250616,29000,439000,14.90,15.30,14.90,15.30,0.35,26
3066,李洲,20250617,1108000,18178000,16.15,16.80,15.35,15.65,0.35,708
3066,李洲,20250618,264000,4213000,15.85,16.20,15.70,15.80,0.15,219
3066,李洲,20250619,115000,1776000,16.00,16.00,15.35,15.55,-0.25,104
3066,李洲,20250620,154000,2310000,15.25,15.35,14.85,15.35,-0.20,109
