股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3130,一零四,20250602,20545,4712425,230.50,230.50,228.50,229.50,-1.00,292
3130,一零四,20250603,20816,4783381,229.50,230.00,229.50,230.00,+0.50,96
3130,一零四,20250604,18687,4323092,232.50,232.50,231.00,231.00,+1.00,83
3130,一零四,20250605,29684,6819916,231.00,231.00,228.50,229.00,-2.00,185
3130,一零四,20250606,20197,4624175,229.00,229.50,228.00,229.00, 0.00,123
3130,一零四,20250609,30574,6993819,229.00,229.50,228.00,228.00,-1.00,167
3130,一零四,20250610,53143,12154314,228.50,229.50,228.00,228.00, 0.00,132
3130,一零四,20250611,81152,18436656,228.00,228.50,226.00,226.00,-2.00,246
3130,一零四,20250612,69184,15703113,227.00,230.00,225.00,229.00,+3.00,188
3130,一零四,20250613,25534,5861324,229.00,230.00,229.00,229.50,+0.50,119
3130,一零四,20250616,23581,5405098,229.50,230.00,228.00,230.00,+0.50,158
3130,一零四,20250617,27509,6335260,229.50,231.50,229.50,230.00, 0.00,169
3130,一零四,20250618,34366,7893502,230.00,231.00,229.00,230.00, 0.00,483
3130,一零四,20250619,27592,6309518,230.00,230.00,228.50,228.50,-1.50,321
3130,一零四,20250620,35906,8168545,229.00,229.00,226.50,227.00,-1.50,294
