股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3163,波若威,20250602,8389000,1347150000,161.50,165.00,156.00,165.00,3.50,"6,480"
3163,波若威,20250603,16327000,2712539000,168.00,170.00,163.00,166.00,1.00,"12,121"
3163,波若威,20250604,6963000,1165745000,168.00,169.00,166.00,166.00,0.00,"5,529"
3163,波若威,20250605,4772000,785674000,167.00,167.50,161.50,162.50,-3.50,"4,066"
3163,波若威,20250606,12666000,2106397000,163.50,168.50,161.50,167.00,4.50,"10,541"
3163,波若威,20250609,13033000,2203137000,169.00,171.50,167.00,170.00,3.00,"10,391"
3163,波若威,20250610,14783000,2534830000,171.00,175.00,168.00,174.50,4.50,"11,372"
3163,波若威,20250611,47872000,8769445000,177.00,187.50,176.50,181.50,7.00,"35,475"
3163,波若威,20250612,18296000,3348971000,183.00,186.00,180.50,183.50,2.00,"15,736"
3163,波若威,20250613,9734000,1750253000,181.00,183.00,178.00,178.00,-5.50,"8,706"
3163,波若威,20250616,31568000,5849996000,176.50,191.50,176.00,184.00,6.00,"25,177"
3163,波若威,20250617,22514000,4210015000,186.50,190.50,183.00,186.00,2.00,"17,650"
3163,波若威,20250618,9534000,1777473000,186.50,188.50,184.50,185.50,-0.50,"10,083"
3163,波若威,20250619,23358000,4479439000,187.00,199.00,185.00,185.00,-0.50,"19,373"
3163,波若威,20250620,10535000,1945267000,186.00,190.50,180.00,180.00,-5.00,"12,372"
