股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3164,景岳,20250602,28267,572874,20.30,20.30,20.10,20.25,-0.45,81
3164,景岳,20250603,7699,155929,20.05,20.40,20.05,20.20,-0.05,39
3164,景岳,20250604,13009,263092,20.20,20.30,20.10,20.30,+0.10,45
3164,景岳,20250605,15760,319830,20.15,20.45,20.15,20.35,+0.05,46
3164,景岳,20250606,5493,111826,20.40,20.40,20.30,20.30,-0.05,37
3164,景岳,20250609,7659,155784,20.10,20.80,20.00,20.65,+0.35,67
3164,景岳,20250610,49182,993417,20.65,20.65,20.00,20.40,-0.25,57
3164,景岳,20250611,29104,586219,20.25,20.25,20.00,20.05,-0.35,115
3164,景岳,20250612,10760,215019,20.05,20.05,19.90,19.90,-0.15,48
3164,景岳,20250613,8248,164440,19.85,20.00,19.85,20.00,+0.10,31
3164,景岳,20250616,17134,343113,20.00,20.10,19.95,20.05,+0.05,18
3164,景岳,20250617,39607,793325,20.00,20.15,20.00,20.15,+0.10,38
3164,景岳,20250618,19465,392631,19.85,20.30,19.85,20.25,+0.10,24
3164,景岳,20250619,52111,1049864,20.10,20.30,20.00,20.00,-0.25,37
3164,景岳,20250620,30069,599333,20.00,20.00,19.85,19.90,-0.10,30
