股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3219,倚強科,20250602,3453000,189355000,57.50,57.70,52.60,54.20,-3.80,"2,208"
3219,倚強科,20250603,1436000,83843000,56.00,59.60,56.00,59.60,5.40,934
3219,倚強科,20250604,6096000,361313000,62.30,62.60,57.50,57.50,-2.10,"4,423"
3219,倚強科,20250605,4608000,266006000,57.50,60.50,55.40,55.50,-2.00,"3,612"
3219,倚強科,20250606,1985000,109129000,55.00,56.80,53.40,55.90,0.40,"1,630"
3219,倚強科,20250609,1297000,71386000,56.00,56.80,53.40,56.10,0.20,"1,059"
3219,倚強科,20250610,3443000,200549000,57.00,60.30,56.10,56.10,0.00,"2,807"
3219,倚強科,20250611,1468000,80753000,55.50,56.50,54.20,54.30,-1.80,"1,118"
3219,倚強科,20250612,1025000,55308000,54.20,56.00,52.40,53.10,-1.20,844
3219,倚強科,20250613,3328000,187083000,53.10,58.10,52.50,56.00,2.90,"3,695"
3219,倚強科,20250616,1563000,85818000,56.00,56.70,53.70,54.80,-1.20,"1,438"
3219,倚強科,20250617,1187000,65812000,54.60,56.60,54.30,56.40,1.60,913
3219,倚強科,20250618,2858000,164874000,58.80,60.80,56.20,56.30,-0.10,"2,151"
3219,倚強科,20250619,1371000,73244000,56.50,56.80,51.00,51.40,-4.90,"1,099"
3219,倚強科,20250620,1311000,64766000,52.00,52.00,48.00,48.70,-2.70,"1,060"
