股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3229,晟鈦,20250602,97363,1461838,15.90,15.90,14.70,14.90,-1.00,69
3229,晟鈦,20250603,210834,3385061,14.85,16.35,14.30,16.35,+1.45,170
3229,晟鈦,20250604,194216,3151252,16.50,16.90,16.00,16.05,-0.30,163
3229,晟鈦,20250605,69186,1083301,15.35,16.10,15.35,15.75,-0.30,63
3229,晟鈦,20250606,57253,913582,15.70,16.45,15.50,15.85,+0.10,54
3229,晟鈦,20250609,47545,730488,15.65,15.65,15.15,15.20,-0.65,47
3229,晟鈦,20250610,24227,372258,15.95,15.95,15.20,15.20, 0.00,29
3229,晟鈦,20250611,121468,1792006,14.95,15.15,14.60,14.85,-0.35,93
3229,晟鈦,20250612,26490,391355,14.95,14.95,14.70,14.70,-0.15,32
3229,晟鈦,20250613,26050,380484,14.70,14.70,14.55,14.60,-0.10,18
3229,晟鈦,20250616,44591,657558,14.40,15.45,14.20,15.40,+0.80,55
3229,晟鈦,20250617,31802,480178,15.20,15.50,14.80,14.85,-0.55,67
3229,晟鈦,20250618,36955,562196,14.85,15.90,14.75,15.20,+0.35,60
3229,晟鈦,20250619,43190,625810,15.10,15.10,14.30,14.35,-0.85,29
3229,晟鈦,20250620,9810,140360,14.35,14.40,14.25,14.40,+0.05,15
