股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3264,欣銓,20250602,4241000,318611000,76.00,76.30,74.30,74.90,-1.40,"3,571"
3264,欣銓,20250603,5575000,417829000,75.20,75.50,74.30,75.30,0.40,"4,080"
3264,欣銓,20250604,2803000,212525000,75.60,76.10,75.60,75.90,0.60,"2,151"
3264,欣銓,20250605,3456000,261875000,76.10,76.20,75.40,76.20,0.30,"2,592"
3264,欣銓,20250606,2270000,172504000,76.20,76.60,75.60,76.00,-0.20,"1,826"
3264,欣銓,20250609,2519000,192117000,76.10,76.50,75.90,76.30,0.30,"1,801"
3264,欣銓,20250610,18046000,1439609000,76.80,81.30,76.80,80.30,4.00,"11,439"
3264,欣銓,20250611,15970000,1303278000,81.40,83.00,80.30,81.20,0.90,"11,715"
3264,欣銓,20250612,5271000,429020000,81.40,82.00,80.80,81.00,-0.20,"3,746"
3264,欣銓,20250613,6199000,491143000,80.10,80.80,78.40,79.10,-1.90,"4,693"
3264,欣銓,20250616,3231000,258233000,79.10,80.50,78.40,80.00,0.90,"2,317"
3264,欣銓,20250617,6193000,498299000,80.20,81.60,79.50,79.50,-0.50,"5,348"
3264,欣銓,20250618,4498000,357923000,79.60,80.20,78.70,79.30,-0.20,"5,262"
3264,欣銓,20250619,8629000,672722000,79.50,79.50,77.50,77.50,-1.80,"5,445"
3264,欣銓,20250620,9726000,733450000,77.50,77.60,74.00,75.90,-1.60,"6,004"
