股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3285,微端,20250602,23000,567000,24.75,24.80,23.80,23.80,-1.05,28
3285,微端,20250603,42000,1052000,24.45,25.60,24.30,24.75,0.95,47
3285,微端,20250604,9000,212000,25.60,25.60,24.75,25.00,0.25,22
3285,微端,20250605,9000,228000,25.70,25.70,24.80,24.85,-0.15,8
3285,微端,20250606,8000,188000,24.85,25.35,24.70,24.95,0.10,16
3285,微端,20250609,5000,130000,25.20,25.20,25.20,25.20,0.25,12
3285,微端,20250610,4000,107000,24.70,25.15,24.70,25.15,-0.05,10
3285,微端,20250611,22000,551000,25.45,25.45,24.60,24.60,-0.55,23
3285,微端,20250612,18000,454000,25.30,25.50,24.85,25.10,0.50,17
3285,微端,20250613,43000,1084000,25.25,25.30,24.75,25.30,0.20,32
3285,微端,20250616,43000,1090000,25.10,25.45,25.10,25.40,0.10,19
3285,微端,20250617,29000,739000,25.40,25.50,25.25,25.30,-0.10,20
3285,微端,20250618,4000,102000,25.40,25.40,25.25,25.25,-0.05,6
3285,微端,20250619,11000,284000,24.70,25.40,24.55,24.65,-0.60,20
3285,微端,20250620,86000,2095000,25.35,25.35,24.00,24.70,0.05,32
