股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3362,先進光,20250602,337000,41523000,125.50,125.50,122.00,123.00,-4.00,433
3362,先進光,20250603,204000,25137000,122.50,124.50,122.00,122.00,-1.00,280
3362,先進光,20250604,439000,55086000,122.50,126.50,122.50,126.50,4.50,423
3362,先進光,20250605,658000,84754000,127.00,131.00,126.00,127.50,1.00,577
3362,先進光,20250606,324000,40772000,127.50,128.50,124.00,128.50,1.00,391
3362,先進光,20250609,267000,33992000,129.00,130.00,125.50,126.50,-2.00,318
3362,先進光,20250610,447000,56503000,127.00,128.50,124.50,127.00,0.50,489
3362,先進光,20250611,798000,103988000,129.50,133.00,128.00,129.50,2.50,808
3362,先進光,20250612,4002000,556001000,133.00,142.00,130.00,142.00,12.50,"3,742"
3362,先進光,20250613,6653000,933327000,141.00,145.00,135.00,137.50,-4.50,"5,813"
3362,先進光,20250616,1327000,175597000,135.00,135.50,130.50,131.50,-6.00,"1,440"
3362,先進光,20250617,879000,116021000,133.50,134.50,130.00,130.50,-1.00,"1,034"
3362,先進光,20250618,540000,70536000,130.50,132.00,128.50,132.00,1.50,637
3362,先進光,20250619,1023000,130386000,131.50,132.00,126.00,126.50,-5.50,"1,195"
3362,先進光,20250620,819000,102018000,127.00,127.00,123.00,124.50,-2.00,904
