股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3413,京鼎,20250602,627060,187016896,298.00,300.50,295.50,298.50,-2.50,851
3413,京鼎,20250603,1487138,453295729,300.50,307.00,298.00,307.00,+8.50,"1,718"
3413,京鼎,20250604,1183533,366341051,308.50,311.50,308.00,308.50,+1.50,"2,584"
3413,京鼎,20250605,576683,178369412,309.00,311.50,307.00,309.50,+1.00,826
3413,京鼎,20250606,981951,305323706,308.50,316.00,307.50,308.50,-1.00,"1,203"
3413,京鼎,20250609,692783,216400334,310.00,315.00,308.50,312.50,+4.00,953
3413,京鼎,20250610,915701,289235847,315.00,320.50,313.00,315.00,+2.50,"1,328"
3413,京鼎,20250611,639189,200846214,316.00,316.50,312.00,314.50,-0.50,"1,944"
3413,京鼎,20250612,541004,169272856,314.50,315.50,311.50,311.50,-3.00,823
3413,京鼎,20250613,744964,228246052,310.00,310.00,304.00,304.50,-7.00,"3,201"
3413,京鼎,20250616,664935,204108996,302.00,312.00,301.50,310.00,+5.50,998
3413,京鼎,20250617,536513,165857833,311.00,312.50,306.50,307.50,-2.50,"2,461"
3413,京鼎,20250618,784699,242678035,307.50,312.00,306.50,307.50, 0.00,"1,015"
3413,京鼎,20250619,945810,287209189,307.50,309.50,301.50,302.50,-5.00,"1,770"
3413,京鼎,20250620,1585519,457567077,289.00,295.00,285.50,287.00,X0.00,"2,029"
