股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3432,台端,20250602,7200,108650,15.10,15.15,15.00,15.10,-0.05,6
3432,台端,20250603,4005,59973,15.00,15.00,14.90,14.90,-0.20,5
3432,台端,20250604,2549,37836,15.00,15.00,15.00,15.00,+0.10,6
3432,台端,20250605,14036,208953,15.00,15.00,14.85,14.85,-0.15,16
3432,台端,20250606,547,7831,--,--,--,--, 0.00,4
3432,台端,20250609,12424,184226,14.80,14.85,14.75,14.80,X0.00,17
3432,台端,20250610,7101,107094,15.65,15.65,14.85,14.90,+0.10,8
3432,台端,20250611,13000,193100,14.90,14.90,14.75,14.90, 0.00,13
3432,台端,20250612,21928,320262,14.85,14.85,14.55,14.60,-0.30,27
3432,台端,20250613,7703,111727,14.60,14.60,14.50,14.50,-0.10,13
3432,台端,20250616,16394,230516,14.00,14.45,14.00,14.40,-0.10,21
3432,台端,20250617,4702,67958,14.45,14.50,14.40,14.50,+0.10,6
3432,台端,20250618,4075,58693,14.50,14.50,14.35,14.35,-0.15,5
3432,台端,20250619,6000,84500,14.15,14.15,14.00,14.00,-0.35,5
3432,台端,20250620,5362,74073,13.90,13.90,13.75,13.75,-0.25,7
