股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3528,安馳,20250602,1788062,146434399,81.80,83.80,80.10,82.00,-0.50,"1,325"
3528,安馳,20250603,4139551,354849778,82.90,89.10,81.60,85.90,+3.90,"3,561"
3528,安馳,20250604,4058343,350503853,86.40,87.40,85.10,87.30,+1.40,"3,101"
3528,安馳,20250605,2394165,206271651,86.80,88.20,84.40,84.40,-2.90,"2,199"
3528,安馳,20250606,1032350,85688324,83.40,84.40,82.30,82.30,-2.10,"1,259"
3528,安馳,20250609,1026582,84000294,82.80,83.00,80.70,82.90,+0.60,"1,110"
3528,安馳,20250610,1906002,157948801,83.30,84.40,81.40,83.30,+0.40,"1,368"
3528,安馳,20250611,3722418,311253211,84.20,85.70,82.00,83.90,+0.60,"2,649"
3528,安馳,20250612,3119864,266725103,84.00,87.70,83.30,84.40,+0.50,"2,368"
3528,安馳,20250613,1652687,135862484,83.70,84.30,81.00,81.00,-3.40,"1,900"
3528,安馳,20250616,964786,78116008,81.20,82.20,80.20,81.20,+0.20,863
3528,安馳,20250617,688294,56032368,82.00,82.50,80.60,80.60,-0.60,593
3528,安馳,20250618,1594717,126271245,80.40,80.90,78.00,78.00,-2.60,"1,264"
3528,安馳,20250619,1127939,87553072,78.00,79.20,76.50,76.50,-1.50,861
3528,安馳,20250620,713309,54301038,77.30,77.80,75.20,75.20,-1.30,638
