股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3533,嘉澤,20250602,1764200,2194871795,"1,290.00","1,295.00","1,220.00","1,245.00",-70.00,"4,500"
3533,嘉澤,20250603,1049016,1311548165,"1,255.00","1,275.00","1,235.00","1,255.00",+10.00,"1,999"
3533,嘉澤,20250604,1158594,1506382000,"1,275.00","1,315.00","1,275.00","1,310.00",+55.00,"2,064"
3533,嘉澤,20250605,2812609,3830063855,"1,320.00","1,390.00","1,320.00","1,355.00",+45.00,"4,643"
3533,嘉澤,20250606,1160598,1584709500,"1,355.00","1,380.00","1,345.00","1,355.00", 0.00,"1,795"
3533,嘉澤,20250609,1609754,2197231660,"1,370.00","1,380.00","1,350.00","1,360.00",+5.00,"1,988"
3533,嘉澤,20250610,1295053,1760989030,"1,365.00","1,375.00","1,340.00","1,375.00",+15.00,"2,400"
3533,嘉澤,20250611,978910,1357650125,"1,390.00","1,400.00","1,375.00","1,385.00",+10.00,"1,946"
3533,嘉澤,20250612,949087,1319519675,"1,395.00","1,405.00","1,380.00","1,385.00", 0.00,"1,872"
3533,嘉澤,20250613,1040183,1441525605,"1,380.00","1,405.00","1,365.00","1,380.00",-5.00,"1,916"
3533,嘉澤,20250616,680115,937082495,"1,380.00","1,390.00","1,360.00","1,375.00",-5.00,"1,304"
3533,嘉澤,20250617,1734332,2459901365,"1,385.00","1,455.00","1,385.00","1,400.00",+25.00,"3,756"
3533,嘉澤,20250618,3286322,4749613195,"1,440.00","1,490.00","1,400.00","1,435.00",+35.00,"5,479"
3533,嘉澤,20250619,1082907,1543271700,"1,435.00","1,450.00","1,415.00","1,415.00",-20.00,"1,865"
3533,嘉澤,20250620,1636424,2245466995,"1,415.00","1,415.00","1,350.00","1,355.00",-60.00,"2,974"
