股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3543,州巧,20250602,30135,590059,20.00,20.00,19.50,19.50,X0.00,52
3543,州巧,20250603,57040,1106869,19.55,19.60,19.30,19.30,-0.20,48
3543,州巧,20250604,55009,1082029,19.05,19.80,19.05,19.75,+0.45,40
3543,州巧,20250605,28009,560030,20.05,20.05,19.75,20.00,+0.25,15
3543,州巧,20250606,91008,1841013,20.10,20.80,20.00,20.45,+0.45,48
3543,州巧,20250609,44231,901317,21.10,21.10,20.20,20.30,-0.15,47
3543,州巧,20250610,71853,1463314,20.30,20.45,20.30,20.40,+0.10,33
3543,州巧,20250611,52005,1058154,20.30,20.45,20.10,20.40, 0.00,41
3543,州巧,20250612,58090,1182246,20.85,20.85,20.20,20.45,+0.05,41
3543,州巧,20250613,52020,1059959,20.35,20.50,20.00,20.50,+0.05,52
3543,州巧,20250616,36159,737091,20.25,20.80,20.10,20.40,-0.10,45
3543,州巧,20250617,54005,1098452,20.40,20.45,20.10,20.25,-0.15,31
3543,州巧,20250618,24083,485420,20.20,20.25,19.95,20.05,-0.20,21
3543,州巧,20250619,167064,3250039,19.70,20.10,19.20,19.40,-0.65,77
3543,州巧,20250620,31001,606269,20.05,20.05,19.30,19.35,-0.05,27
