股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3557,嘉威,20250602,89110,4481513,51.10,51.10,50.00,50.10,-1.00,146
3557,嘉威,20250603,95742,4806434,50.20,50.60,50.00,50.40,+0.30,57
3557,嘉威,20250604,164447,8331384,50.50,51.00,50.40,50.70,+0.30,108
3557,嘉威,20250605,88915,4536974,50.90,51.50,50.80,50.80,+0.10,81
3557,嘉威,20250606,86030,4361660,50.90,51.00,50.40,50.50,-0.30,111
3557,嘉威,20250609,144182,7194325,50.30,50.60,49.50,49.70,-0.80,177
3557,嘉威,20250610,81592,4092870,50.00,50.40,49.70,50.20,+0.50,91
3557,嘉威,20250611,308520,14913221,48.80,49.00,47.30,48.90,-1.30,298
3557,嘉威,20250612,146107,7260189,49.85,50.00,49.10,49.60,+0.70,130
3557,嘉威,20250613,158236,7739955,49.60,49.60,48.40,48.60,-1.00,162
3557,嘉威,20250616,105476,5116853,48.60,48.80,48.10,48.50,-0.10,110
3557,嘉威,20250617,79161,3878434,48.50,49.30,48.50,49.20,+0.70,85
3557,嘉威,20250618,79679,3965541,48.90,50.00,48.90,49.85,+0.65,72
3557,嘉威,20250619,92643,4557641,50.00,50.00,49.00,49.10,-0.75,166
3557,嘉威,20250620,121156,5881239,48.85,49.05,48.00,48.90,-0.20,123
