股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3645,達邁,20250602,4481111,257085500,58.00,58.50,56.60,57.50,-1.80,"3,368"
3645,達邁,20250603,13367032,793627457,57.80,60.50,57.70,59.90,+2.40,"9,464"
3645,達邁,20250604,11622936,706720423,61.00,61.90,59.80,59.80,-0.10,"7,781"
3645,達邁,20250605,4213180,248679189,59.80,60.80,58.40,58.40,-1.40,"3,156"
3645,達邁,20250606,3248870,187865885,58.30,59.00,57.20,57.20,-1.20,"2,800"
3645,達邁,20250609,2298373,131152921,57.60,57.80,56.20,57.50,+0.30,"1,827"
3645,達邁,20250610,5774788,341703355,59.50,60.10,58.50,58.50,+1.00,"4,391"
3645,達邁,20250611,2582940,151283732,59.00,59.00,57.90,58.70,+0.20,"2,161"
3645,達邁,20250612,10662770,648271698,58.60,61.80,58.30,60.60,+1.90,"7,753"
3645,達邁,20250613,5526117,325153832,60.00,60.90,57.60,57.70,-2.90,"4,238"
3645,達邁,20250616,3602052,210462691,58.20,59.00,57.80,58.40,+0.70,"2,529"
3645,達邁,20250617,6936486,414587660,59.40,61.20,58.80,59.70,+1.30,"5,083"
3645,達邁,20250618,21558055,1328544320,59.70,63.10,59.40,61.70,+2.00,"14,602"
3645,達邁,20250619,9524771,578890078,62.50,62.70,59.50,61.00,-0.70,"6,653"
3645,達邁,20250620,5361133,322738155,60.40,61.60,59.30,59.90,-1.10,"3,757"
