股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3653,健策,20250602,925789,1224092925,"1,330.00","1,350.00","1,305.00","1,320.00",-35.00,"1,604"
3653,健策,20250603,2040052,2799498525,"1,330.00","1,395.00","1,320.00","1,385.00",+65.00,"3,006"
3653,健策,20250604,1324511,1817516820,"1,385.00","1,405.00","1,350.00","1,360.00",-25.00,"2,250"
3653,健策,20250605,722732,981913330,"1,360.00","1,370.00","1,345.00","1,360.00", 0.00,"1,022"
3653,健策,20250606,544001,737922740,"1,360.00","1,365.00","1,340.00","1,360.00", 0.00,757
3653,健策,20250609,759647,1049768245,"1,360.00","1,395.00","1,355.00","1,395.00",+35.00,"1,271"
3653,健策,20250610,1109066,1562319835,"1,405.00","1,420.00","1,395.00","1,420.00",+25.00,"2,101"
3653,健策,20250611,1889161,2770101985,"1,435.00","1,490.00","1,430.00","1,475.00",+55.00,"3,269"
3653,健策,20250612,1412967,2123099195,"1,465.00","1,530.00","1,460.00","1,495.00",+20.00,"2,340"
3653,健策,20250613,1150370,1726137360,"1,480.00","1,530.00","1,460.00","1,530.00",+35.00,"2,046"
3653,健策,20250616,1888055,2858880265,"1,505.00","1,575.00","1,480.00","1,495.00",-35.00,"5,697"
3653,健策,20250617,2468515,3780103205,"1,510.00","1,560.00","1,490.00","1,540.00",+45.00,"3,174"
3653,健策,20250618,1805239,2807071115,"1,535.00","1,585.00","1,510.00","1,550.00",+10.00,"3,637"
3653,健策,20250619,1223467,1882541915,"1,540.00","1,565.00","1,520.00","1,530.00",-20.00,"1,734"
3653,健策,20250620,2899727,4287152840,"1,525.00","1,525.00","1,450.00","1,480.00",-50.00,"3,846"
