股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3705,永信,20250602,1414414,88244709,61.80,62.70,61.80,62.50,+1.20,"1,163"
3705,永信,20250603,684167,42423629,62.70,62.70,61.60,61.90,-0.60,571
3705,永信,20250604,446227,27617273,61.90,62.10,61.70,62.00,+0.10,443
3705,永信,20250605,491346,30297814,62.20,62.30,61.40,61.40,-0.60,436
3705,永信,20250606,470633,28996521,61.50,62.10,61.30,61.60,+0.20,345
3705,永信,20250609,1160679,72408565,61.90,62.90,61.40,62.40,+0.80,675
3705,永信,20250610,978767,60663619,61.90,62.40,61.40,62.00,-0.40,663
3705,永信,20250611,716569,44191125,61.80,62.30,61.10,61.50,-0.50,624
3705,永信,20250612,724193,44828957,61.50,62.40,61.40,62.20,+0.70,503
3705,永信,20250613,1535712,94146894,62.10,62.40,60.80,60.80,-1.40,"1,060"
3705,永信,20250616,766845,47187173,61.00,62.10,60.70,61.80,+1.00,539
3705,永信,20250617,518558,32071336,61.90,62.20,61.40,61.80, 0.00,381
3705,永信,20250618,1514971,94661624,62.00,63.00,61.80,62.10,+0.30,770
3705,永信,20250619,904870,56228028,62.30,62.60,61.50,62.30,+0.20,650
3705,永信,20250620,1849630,113707577,62.40,62.40,61.20,61.40,-0.90,851
