股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4104,佳醫,20250602,95814,8191189,85.60,85.70,85.30,85.40,-0.20,256
4104,佳醫,20250603,103601,8856949,85.40,85.80,85.30,85.30,-0.10,198
4104,佳醫,20250604,76106,6534291,85.50,86.30,85.40,85.80,+0.50,150
4104,佳醫,20250605,55745,4784750,85.50,86.20,85.50,85.70,-0.10,143
4104,佳醫,20250606,66963,5759449,85.40,86.30,85.40,85.70, 0.00,138
4104,佳醫,20250609,72969,6253452,85.70,86.40,85.50,85.60,-0.10,120
4104,佳醫,20250610,101792,8722489,85.50,86.30,85.40,85.60, 0.00,215
4104,佳醫,20250611,72921,6230073,85.60,85.70,85.10,85.60, 0.00,196
4104,佳醫,20250612,131872,11248402,85.10,85.50,85.10,85.20,-0.40,351
4104,佳醫,20250613,162977,13817901,85.00,85.10,84.10,84.70,-0.50,386
4104,佳醫,20250616,79695,6764497,84.70,85.20,84.20,84.90,+0.20,173
4104,佳醫,20250617,135417,11479154,84.50,85.00,84.50,84.60,-0.30,323
4104,佳醫,20250618,58844,4989151,84.30,85.00,84.30,84.80,+0.20,165
4104,佳醫,20250619,92665,7835936,84.40,84.90,84.40,84.50,-0.30,202
4104,佳醫,20250620,90427,7638471,84.40,84.70,84.20,84.30,-0.20,214
