股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4148,全宇生技-KY,20250602,8126,385143,47.90,47.90,46.60,46.80,-0.90,29
4148,全宇生技-KY,20250603,4000,187450,47.20,47.20,46.65,46.80, 0.00,4
4148,全宇生技-KY,20250604,14554,679003,47.10,47.60,46.00,46.80, 0.00,42
4148,全宇生技-KY,20250605,22000,1017500,46.95,46.95,45.55,46.40,-0.40,15
4148,全宇生技-KY,20250606,111,5077,--,--,--,--, 0.00,9
4148,全宇生技-KY,20250609,342,15276,--,--,--,--, 0.00,52
4148,全宇生技-KY,20250610,13495,627103,47.00,47.00,46.15,46.15,X0.00,34
4148,全宇生技-KY,20250611,10034,460753,46.15,46.15,45.65,45.90,-0.25,20
4148,全宇生技-KY,20250612,4062,185764,45.90,45.90,45.45,45.75,-0.15,33
4148,全宇生技-KY,20250613,16018,734896,46.00,46.80,45.00,45.00,-0.75,17
4148,全宇生技-KY,20250616,40000,1814950,45.85,45.85,45.30,45.30,+0.30,12
4148,全宇生技-KY,20250617,17052,781562,46.50,46.50,45.35,45.70,+0.40,13
4148,全宇生技-KY,20250618,5000,231100,46.20,46.35,46.00,46.00,+0.30,5
4148,全宇生技-KY,20250619,43448,1920740,46.00,46.00,43.15,43.40,-2.60,52
4148,全宇生技-KY,20250620,26200,1100155,43.40,43.40,41.65,42.60,-0.80,29
