股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4171,瑞基,20250602,1302000,33766000,24.35,26.15,24.00,26.15,2.35,912
4171,瑞基,20250603,4205000,112909000,26.50,27.95,25.80,27.00,0.85,"3,267"
4171,瑞基,20250604,958000,24887000,26.40,26.85,25.05,26.00,-1.00,990
4171,瑞基,20250605,730000,18380000,26.00,26.80,24.20,24.20,-1.80,939
4171,瑞基,20250606,290000,7051000,24.55,24.90,24.00,24.00,-0.20,337
4171,瑞基,20250609,395000,9076000,24.20,24.20,22.20,22.90,-1.10,422
4171,瑞基,20250610,633000,15364000,23.05,25.15,22.75,25.15,2.25,589
4171,瑞基,20250611,975000,25061000,24.05,27.00,23.85,25.80,0.65,985
4171,瑞基,20250612,309000,7896000,25.80,26.10,25.20,25.20,-0.60,331
4171,瑞基,20250613,352000,8501000,25.20,25.20,23.50,23.50,-1.70,383
4171,瑞基,20250616,101000,2361000,23.45,23.55,23.10,23.15,-0.35,125
4171,瑞基,20250617,73000,1671000,23.60,23.60,22.70,22.75,-0.40,120
4171,瑞基,20250618,72000,1652000,23.00,23.30,22.85,22.90,0.15,80
4171,瑞基,20250619,119000,2651000,22.90,22.90,22.00,22.00,-0.90,119
4171,瑞基,20250620,91000,1949000,22.05,22.10,21.20,21.25,-0.75,121
