股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4532,瑞智,20250602,1855368,53741474,29.65,29.65,28.65,28.85,-0.85,"1,137"
4532,瑞智,20250603,1861774,53575160,29.00,29.35,28.45,28.45,-0.40,"1,208"
4532,瑞智,20250604,1650523,46893286,28.65,28.75,28.20,28.20,-0.25,"1,163"
4532,瑞智,20250605,1925227,53668343,28.10,28.20,27.65,27.90,-0.30,"1,330"
4532,瑞智,20250606,1197721,33689077,27.75,28.30,27.75,28.05,+0.15,840
4532,瑞智,20250609,1317404,36978954,28.10,28.30,27.85,28.10,+0.05,898
4532,瑞智,20250610,6604757,173953493,27.00,27.15,26.05,26.15,-1.95,"3,848"
4532,瑞智,20250611,2819424,73250156,26.00,26.10,25.80,26.10,-0.05,"1,568"
4532,瑞智,20250612,2137866,55195154,26.10,26.10,25.70,25.75,-0.35,"1,497"
4532,瑞智,20250613,2012040,51319356,25.60,25.70,25.35,25.35,-0.40,"1,450"
4532,瑞智,20250616,1847816,46475932,25.35,25.45,25.00,25.10,-0.25,"1,331"
4532,瑞智,20250617,2601596,66885926,25.30,25.90,25.20,25.80,+0.70,"1,712"
4532,瑞智,20250618,1632816,41917068,25.95,25.95,25.55,25.60,-0.20,"1,189"
4532,瑞智,20250619,1545391,38882571,25.55,25.55,25.00,25.05,-0.55,927
4532,瑞智,20250620,1865867,46277157,25.10,25.25,24.60,24.80,-0.25,914
