股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4557,永新-KY,20250602,69401,7399813,107.50,107.50,106.00,106.50,-1.50,131
4557,永新-KY,20250603,28903,3112262,106.50,108.00,106.50,107.50,+1.00,43
4557,永新-KY,20250604,113483,12442112,108.50,110.50,107.50,110.00,+2.50,109
4557,永新-KY,20250605,68380,7587583,111.00,111.50,110.50,110.50,+0.50,98
4557,永新-KY,20250606,41803,4606648,110.00,111.00,109.50,110.00,-0.50,53
4557,永新-KY,20250609,68057,7441439,110.00,110.00,108.50,109.50,-0.50,111
4557,永新-KY,20250610,78780,8654523,109.00,110.50,109.00,109.50, 0.00,98
4557,永新-KY,20250611,136988,15107773,110.50,111.50,109.00,111.00,+1.50,147
4557,永新-KY,20250612,119352,13259811,111.50,112.00,110.00,112.00,+1.00,166
4557,永新-KY,20250613,168060,18589693,112.00,112.00,110.00,110.50,-1.50,188
4557,永新-KY,20250616,117232,12269638,105.00,105.50,103.50,105.00,X0.00,157
4557,永新-KY,20250617,43394,4572589,105.50,106.00,105.00,105.50,+0.50,66
4557,永新-KY,20250618,57488,6003308,105.00,105.00,104.00,104.50,-1.00,71
4557,永新-KY,20250619,80357,8337577,104.50,104.50,103.50,103.50,-1.00,96
4557,永新-KY,20250620,68891,7037065,103.00,103.00,101.50,102.00,-1.50,109
