股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4569,六方科-KY,20250602,59590,8289278,140.00,140.00,137.50,140.00,-2.00,67
4569,六方科-KY,20250603,38723,5481120,139.00,143.50,139.00,141.00,+1.00,58
4569,六方科-KY,20250604,82772,11957576,143.00,147.50,141.50,147.00,+6.00,104
4569,六方科-KY,20250605,28519,4197283,147.00,148.50,146.00,148.00,+1.00,49
4569,六方科-KY,20250606,27936,4084350,147.50,147.50,145.50,145.50,-2.50,33
4569,六方科-KY,20250609,28021,4098977,147.00,147.50,145.50,145.50, 0.00,44
4569,六方科-KY,20250610,57793,8458873,146.00,148.50,144.00,147.00,+1.50,85
4569,六方科-KY,20250611,72613,10701460,149.00,149.00,145.00,145.00,-2.00,75
4569,六方科-KY,20250612,160315,23845233,146.00,153.50,145.50,149.00,+4.00,196
4569,六方科-KY,20250613,52981,7775722,150.00,150.00,144.00,145.00,-4.00,85
4569,六方科-KY,20250616,48121,6838676,146.00,146.00,140.00,140.50,-4.50,193
4569,六方科-KY,20250617,94481,13771714,141.00,150.50,141.00,144.00,+3.50,121
4569,六方科-KY,20250618,234345,36170415,145.50,158.00,145.50,158.00,+14.00,295
4569,六方科-KY,20250619,733655,119201551,170.00,170.00,155.00,158.00, 0.00,976
4569,六方科-KY,20250620,201312,30845471,156.50,159.00,149.00,151.50,-6.50,513
