股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4583,台灣精銳,20250602,652384,507414895,789.00,795.00,766.00,776.00,-22.00,"1,253"
4583,台灣精銳,20250603,470040,370559921,786.00,798.00,777.00,792.00,+16.00,773
4583,台灣精銳,20250604,1442692,1167528508,803.00,828.00,793.00,814.00,+22.00,"2,195"
4583,台灣精銳,20250605,620409,503781542,814.00,819.00,805.00,811.00,-3.00,988
4583,台灣精銳,20250606,596623,475207598,807.00,813.00,783.00,796.00,-15.00,"1,198"
4583,台灣精銳,20250609,1333027,1089436971,806.00,834.00,802.00,821.00,+25.00,"1,873"
4583,台灣精銳,20250610,2112532,1813517393,828.00,876.00,825.00,865.00,+44.00,"3,502"
4583,台灣精銳,20250611,914128,797241583,872.00,880.00,866.00,870.00,+5.00,"1,443"
4583,台灣精銳,20250612,990332,840344253,873.00,873.00,830.00,838.00,-32.00,"2,758"
4583,台灣精銳,20250613,774614,647405538,825.00,850.00,822.00,840.00,+2.00,"1,328"
4583,台灣精銳,20250616,1256885,1034418606,834.00,838.00,802.00,833.00,-7.00,"2,105"
4583,台灣精銳,20250617,598772,499995594,845.00,848.00,824.00,828.00,-5.00,"1,049"
4583,台灣精銳,20250618,776381,653307687,828.00,856.00,828.00,831.00,+3.00,"1,290"
4583,台灣精銳,20250619,578822,475391987,828.00,829.00,812.00,828.00,-3.00,996
4583,台灣精銳,20250620,572450,464968048,828.00,834.00,801.00,801.00,-27.00,"1,391"
