股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4706,大恭,20250602,1000,29000,29.00,29.00,29.00,29.00,0.10,1
4706,大恭,20250603,24000,677000,29.00,29.00,27.95,28.15,-0.85,18
4706,大恭,20250604,0,0,--,--,--,--,0.00,0
4706,大恭,20250605,5000,141000,28.15,28.15,28.15,28.15,-0.30,3
4706,大恭,20250606,2000,53000,28.75,28.75,28.75,28.75,0.60,5
4706,大恭,20250609,3000,77000,28.50,28.50,28.50,28.50,-0.25,4
4706,大恭,20250610,4000,116000,28.50,29.45,28.50,29.45,0.95,4
4706,大恭,20250611,2000,58000,29.15,29.15,29.15,29.15,-0.30,1
4706,大恭,20250612,7000,199000,28.50,28.50,28.30,28.30,-0.85,6
4706,大恭,20250613,16000,466000,28.75,29.00,28.00,28.00,-0.30,17
4706,大恭,20250616,0,0,--,--,--,--,0.00,0
4706,大恭,20250617,0,2000,--,--,--,--,0.00,2
4706,大恭,20250618,26000,718000,27.65,27.80,27.00,27.80,-0.20,29
4706,大恭,20250619,1000,28000,27.70,27.70,27.70,27.70,-0.10,1
4706,大恭,20250620,3000,83000,27.70,27.70,27.70,27.70,0.00,1
