股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4707,磐亞,20250602,186000,1920000,10.45,10.50,10.25,10.25,-0.20,154
4707,磐亞,20250603,201000,2067000,10.35,10.35,10.20,10.30,0.05,143
4707,磐亞,20250604,292000,3003000,10.30,10.35,10.25,10.25,-0.05,180
4707,磐亞,20250605,181000,1857000,10.30,10.35,10.20,10.25,0.00,148
4707,磐亞,20250606,183000,1875000,10.25,10.30,10.20,10.25,0.00,140
4707,磐亞,20250609,493000,4974000,10.25,10.25,10.00,10.05,-0.20,313
4707,磐亞,20250610,261000,2641000,10.10,10.20,10.05,10.10,0.05,143
4707,磐亞,20250611,238000,2413000,10.10,10.20,10.10,10.15,0.05,115
4707,磐亞,20250612,120000,1221000,10.25,10.25,10.10,10.15,0.00,89
4707,磐亞,20250613,391000,3920000,10.15,10.15,9.99,10.00,-0.15,211
4707,磐亞,20250616,385000,3844000,10.00,10.10,9.96,10.00,0.00,186
4707,磐亞,20250617,144000,1439000,10.10,10.10,10.00,10.00,0.00,99
4707,磐亞,20250618,172000,1715000,9.96,10.05,9.96,9.99,-0.01,112
4707,磐亞,20250619,879000,8642000,10.00,10.05,9.61,9.85,-0.14,438
4707,磐亞,20250620,429000,4184000,9.85,9.88,9.61,9.80,-0.05,287
