股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4720,德淵,20250602,777479,12418264,16.55,16.55,15.75,15.80,-0.70,333
4720,德淵,20250603,413333,6590731,15.90,16.10,15.80,16.05,+0.25,168
4720,德淵,20250604,317311,5150089,16.15,16.35,16.05,16.35,+0.30,143
4720,德淵,20250605,255377,4184912,16.35,16.50,16.25,16.25,-0.10,114
4720,德淵,20250606,185121,2991940,16.20,16.30,16.10,16.20,-0.05,109
4720,德淵,20250609,536221,8612307,16.20,16.20,15.95,16.05,-0.15,240
4720,德淵,20250610,421520,6871090,16.05,16.45,16.00,16.45,+0.40,193
4720,德淵,20250611,202173,3289436,16.40,16.40,16.10,16.35,-0.10,135
4720,德淵,20250612,202672,3312687,16.25,16.45,16.20,16.35, 0.00,128
4720,德淵,20250613,600902,9630802,16.30,16.30,15.95,16.00,-0.35,283
4720,德淵,20250616,258040,4104797,15.95,16.00,15.80,15.90,-0.10,115
4720,德淵,20250617,391453,6318237,16.00,16.25,16.00,16.25,+0.35,129
4720,德淵,20250618,169148,2737742,16.25,16.25,16.15,16.20,-0.05,75
4720,德淵,20250619,322050,5172910,16.20,16.20,15.95,16.00,-0.20,135
4720,德淵,20250620,423025,6709300,15.95,16.00,15.75,15.95,-0.05,186
