股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4806,桂田文創,20250602,1000,7000,--,--,--,--,0.00,18
4806,桂田文創,20250603,2000,19000,9.09,9.10,9.09,9.10,0.02,11
4806,桂田文創,20250604,3000,29000,9.40,9.40,9.40,9.40,0.30,13
4806,桂田文創,20250605,14000,132000,9.40,9.78,9.00,9.71,0.31,18
4806,桂田文創,20250606,1000,10000,10.30,10.30,10.30,10.30,0.59,13
4806,桂田文創,20250609,0,3000,--,--,--,--,0.00,12
4806,桂田文創,20250610,0,0,--,--,--,--,0.00,6
4806,桂田文創,20250611,7000,67000,9.20,9.24,9.20,9.24,-0.86,19
4806,桂田文創,20250612,0,1000,--,--,--,--,0.00,11
4806,桂田文創,20250613,13000,120000,9.51,10.00,8.95,8.95,-0.29,21
4806,桂田文創,20250616,1000,11000,9.38,9.38,9.38,9.38,0.43,128
4806,桂田文創,20250617,1000,10000,9.06,9.06,9.06,9.06,-0.32,20
4806,桂田文創,20250618,0,0,--,--,--,--,0.00,5
4806,桂田文創,20250619,6000,61000,9.95,9.95,9.20,9.20,0.14,168
4806,桂田文創,20250620,16000,149000,9.45,10.00,8.91,8.91,-0.29,16
