股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4904,遠傳,20250602,10926186,940246013,86.90,86.90,85.70,85.90,-0.60,"6,303"
4904,遠傳,20250603,18708265,1604927882,86.20,86.70,85.40,85.50,-0.40,"7,064"
4904,遠傳,20250604,12384159,1053411007,86.10,86.40,84.60,84.60,-0.90,"6,788"
4904,遠傳,20250605,8528778,731408892,84.90,86.20,84.90,85.80,+1.20,"4,292"
4904,遠傳,20250606,4375308,378745978,85.60,86.90,85.60,86.40,+0.60,"2,459"
4904,遠傳,20250609,4146575,359925901,86.70,87.00,86.60,86.70,+0.30,"2,015"
4904,遠傳,20250610,7341738,647291675,86.70,88.80,86.70,88.00,+1.30,"4,094"
4904,遠傳,20250611,5983011,527146460,88.00,88.80,87.70,87.80,-0.20,"2,887"
4904,遠傳,20250612,3379015,298381222,87.80,88.80,87.80,88.10,+0.30,"1,703"
4904,遠傳,20250613,4637055,410534588,87.80,88.80,87.80,88.50,+0.40,"2,551"
4904,遠傳,20250616,8792110,789974413,88.40,90.30,88.40,90.00,+1.50,"4,397"
4904,遠傳,20250617,5377718,485632039,90.00,90.70,89.80,90.50,+0.50,"2,962"
4904,遠傳,20250618,11185106,1025643939,90.20,92.20,90.10,92.20,+1.70,"5,784"
4904,遠傳,20250619,7631579,700135737,91.40,92.30,91.30,91.90,-0.30,"3,649"
4904,遠傳,20250620,8212499,754026912,91.20,92.20,91.20,91.80,-0.10,"4,269"
