股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4907,富宇,20250602,50000,2350000,47.55,48.95,46.45,46.90,-0.60,56
4907,富宇,20250603,22000,1024000,48.10,48.10,46.00,46.40,-0.50,28
4907,富宇,20250604,25000,1180000,46.55,48.05,46.40,46.90,0.50,27
4907,富宇,20250605,11000,514000,46.70,46.85,46.20,46.85,-0.05,14
4907,富宇,20250606,25000,1177000,46.85,48.15,46.50,46.50,-0.35,59
4907,富宇,20250609,49000,2246000,46.15,46.35,45.30,45.60,-0.90,67
4907,富宇,20250610,17000,791000,45.60,46.00,45.60,45.95,0.35,27
4907,富宇,20250611,21000,977000,45.95,46.90,45.50,46.30,0.35,25
4907,富宇,20250612,14000,651000,46.30,47.70,46.00,46.40,0.10,17
4907,富宇,20250613,7000,337000,45.60,46.00,45.55,46.00,-0.40,13
4907,富宇,20250616,18000,798000,45.10,45.65,44.80,44.85,-1.15,37
4907,富宇,20250617,27000,1224000,45.35,46.00,44.55,44.80,-0.05,35
4907,富宇,20250618,28000,1241000,44.50,45.50,44.50,44.80,0.00,40
4907,富宇,20250619,30000,1341000,44.50,44.70,43.85,44.20,-0.60,68
4907,富宇,20250620,87000,3698000,43.75,43.85,42.20,42.60,-1.60,104
