股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4938,和碩,20250602,7251354,598529742,83.10,83.50,81.80,82.60,-1.30,"5,107"
4938,和碩,20250603,5463138,455487108,83.00,83.80,82.70,83.40,+0.80,"3,361"
4938,和碩,20250604,7856214,669252876,83.50,86.10,83.30,84.80,+1.40,"5,466"
4938,和碩,20250605,4031316,342347131,84.70,85.50,84.50,84.80, 0.00,"3,251"
4938,和碩,20250606,4196048,358737548,84.90,86.00,84.80,85.20,+0.40,"3,130"
4938,和碩,20250609,4762628,409412543,85.90,86.60,85.60,85.60,+0.40,"3,655"
4938,和碩,20250610,5546656,479098215,85.60,86.90,85.30,86.10,+0.50,"3,900"
4938,和碩,20250611,8678752,743858438,86.00,86.60,85.10,85.10,-1.00,"5,151"
4938,和碩,20250612,7642738,653234763,85.80,86.20,85.10,85.30,+0.20,"3,105"
4938,和碩,20250613,13295220,1112432082,84.80,84.80,83.00,83.00,-2.30,"7,666"
4938,和碩,20250616,10707288,886917474,83.00,83.40,81.50,83.00, 0.00,"4,992"
4938,和碩,20250617,23015616,1806890718,78.60,78.80,77.00,77.60,X0.00,"12,393"
4938,和碩,20250618,13303707,1037595129,78.30,78.60,77.50,77.60, 0.00,"8,479"
4938,和碩,20250619,12454553,951556143,77.70,78.00,76.00,76.00,-1.60,"9,080"
4938,和碩,20250620,16715411,1264822890,76.10,76.60,75.00,75.80,-0.20,"7,574"
