股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4960,誠美材,20250602,707814,9249701,13.25,13.25,12.90,13.00,-0.15,288
4960,誠美材,20250603,483490,6321878,13.05,13.20,13.00,13.00, 0.00,301
4960,誠美材,20250604,1011002,13143337,13.00,13.15,12.85,13.00, 0.00,466
4960,誠美材,20250605,776417,10244609,13.00,13.35,12.95,13.25,+0.25,346
4960,誠美材,20250606,507854,6808541,13.25,13.50,13.25,13.30,+0.05,273
4960,誠美材,20250609,867422,11678670,13.30,13.50,13.30,13.40,+0.10,333
4960,誠美材,20250610,8001576,108531876,13.60,13.80,13.45,13.55,+0.15,548
4960,誠美材,20250611,4232269,58160688,13.65,13.80,13.55,13.75,+0.20,528
4960,誠美材,20250612,2474235,33641841,13.70,13.85,13.15,13.25,-0.50,715
4960,誠美材,20250613,703193,9261832,13.15,13.35,13.05,13.15,-0.10,343
4960,誠美材,20250616,1158603,15684031,13.05,13.70,13.05,13.65,+0.50,655
4960,誠美材,20250617,1314843,18025988,13.70,13.90,13.60,13.70,+0.05,843
4960,誠美材,20250618,2000694,27504327,13.75,13.85,13.55,13.70, 0.00,877
4960,誠美材,20250619,1331108,18258348,13.70,13.85,13.55,13.65,-0.05,717
4960,誠美材,20250620,1331411,18186991,13.65,13.75,13.50,13.60,-0.05,717
