股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5234,達興材料,20250602,1222882,252080565,207.00,209.50,203.00,209.50, 0.00,"1,892"
5234,達興材料,20250603,4775209,1067214788,210.00,230.00,210.00,230.00,+20.50,"8,818"
5234,達興材料,20250604,6414947,1487024601,231.50,238.00,227.00,230.50,+0.50,"17,537"
5234,達興材料,20250605,3086009,720640007,230.50,236.50,229.50,235.00,+4.50,"5,065"
5234,達興材料,20250606,1573920,368118747,234.50,238.00,229.00,238.00,+3.00,"4,025"
5234,達興材料,20250609,1524491,363618921,238.00,241.50,235.50,240.50,+2.50,"3,544"
5234,達興材料,20250610,3064055,766771498,242.00,255.50,241.00,255.50,+15.00,"5,026"
5234,達興材料,20250611,3110627,794781084,253.00,262.50,246.50,261.00,+5.50,"6,015"
5234,達興材料,20250612,1678565,437280535,261.00,264.00,257.00,262.50,+1.50,"2,019"
5234,達興材料,20250613,2493878,648137175,260.00,266.00,254.00,264.50,+2.00,"5,197"
5234,達興材料,20250616,2523998,670778530,261.00,270.00,261.00,264.50, 0.00,"6,967"
5234,達興材料,20250617,2797738,728956796,267.00,270.00,256.00,259.50,-5.00,"10,645"
5234,達興材料,20250618,1678760,431795259,259.50,262.00,253.00,257.50,-2.00,"3,581"
5234,達興材料,20250619,4691232,1278376868,256.50,280.50,253.00,275.00,+17.50,"12,740"
5234,達興材料,20250620,2968100,798227380,277.50,279.00,262.50,264.00,-11.00,"4,118"
