股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5310,天剛,20250602,85000,3968000,48.00,49.00,45.65,46.90,0.15,62
5310,天剛,20250603,101000,4612000,44.40,46.65,44.40,45.35,-1.55,73
5310,天剛,20250604,13000,613000,45.35,47.15,45.35,46.00,0.65,23
5310,天剛,20250605,24000,1099000,45.60,46.85,45.60,46.75,0.75,15
5310,天剛,20250606,7000,325000,45.95,46.00,45.90,46.00,-0.75,59
5310,天剛,20250609,2000,98000,46.85,46.85,45.90,45.90,-0.10,8
5310,天剛,20250610,20000,931000,46.95,47.00,45.65,45.70,-0.20,18
5310,天剛,20250611,10000,458000,45.00,45.50,45.00,45.30,-0.40,10
5310,天剛,20250612,10000,455000,45.45,46.00,45.00,46.00,0.70,11
5310,天剛,20250613,39000,1761000,46.00,46.00,45.00,45.75,-0.25,27
5310,天剛,20250616,42000,1892000,45.20,45.35,45.00,45.35,-0.40,26
5310,天剛,20250617,27000,1217000,45.00,45.40,44.85,45.40,0.05,38
5310,天剛,20250618,32000,1431000,45.60,45.60,44.50,44.65,-0.75,33
5310,天剛,20250619,53000,2313000,44.50,44.50,43.70,43.85,-0.80,43
5310,天剛,20250620,38000,1646000,43.60,44.00,42.50,43.00,-0.85,70
