股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5388,中磊,20250602,1838427,173499163,96.60,96.60,93.40,93.70,-3.80,"1,796"
5388,中磊,20250603,1135301,107375500,94.40,95.00,94.20,94.50,+0.80,"1,022"
5388,中磊,20250604,2249147,213574595,95.30,96.30,94.40,95.30,+0.80,"1,988"
5388,中磊,20250605,2402539,229087143,95.00,96.30,93.00,96.30,+1.00,"2,014"
5388,中磊,20250606,2101745,205290809,96.30,98.70,96.00,98.40,+2.10,"1,699"
5388,中磊,20250609,1628081,155615961,98.40,98.70,94.30,95.60,-2.80,"1,664"
5388,中磊,20250610,2347386,230813416,96.60,99.30,96.40,98.10,+2.50,"1,947"
5388,中磊,20250611,1291594,125965579,98.80,99.00,96.50,97.80,-0.30,"1,492"
5388,中磊,20250612,1201090,118339131,97.90,99.30,97.00,99.10,+1.30,"1,141"
5388,中磊,20250613,1864176,179607144,98.30,98.30,95.70,95.90,-3.20,"1,873"
5388,中磊,20250616,1181647,114054327,96.30,97.30,95.30,96.90,+1.00,922
5388,中磊,20250617,3562186,343433697,97.20,98.20,95.00,96.50,-0.40,"2,516"
5388,中磊,20250618,4524781,436042902,96.50,98.00,94.10,96.30,-0.20,"3,071"
5388,中磊,20250619,2933521,281339546,96.30,96.90,95.20,95.90,-0.40,"2,310"
5388,中磊,20250620,2722070,262501422,95.80,97.40,95.60,96.30,+0.40,"1,675"
