股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5608,四維航,20250602,1370943,23150910,16.85,17.05,16.75,16.85, 0.00,787
5608,四維航,20250603,884845,15022152,16.95,17.15,16.85,17.10,+0.25,522
5608,四維航,20250604,1210077,20579811,17.10,17.20,16.90,16.95,-0.15,657
5608,四維航,20250605,1164284,19420295,17.05,17.05,16.60,16.60,-0.35,713
5608,四維航,20250606,1251386,20585045,16.65,16.65,16.30,16.30,-0.30,881
5608,四維航,20250609,656608,10655047,16.25,16.35,16.15,16.20,-0.10,419
5608,四維航,20250610,566417,9290387,16.30,16.55,16.25,16.30,+0.10,368
5608,四維航,20250611,585985,9579138,16.40,16.45,16.20,16.35,+0.05,436
5608,四維航,20250612,667211,10844583,16.35,16.40,16.20,16.20,-0.15,484
5608,四維航,20250613,1196703,19570013,16.40,16.65,16.20,16.25,+0.05,672
5608,四維航,20250616,978602,16008932,16.10,16.55,16.00,16.40,+0.15,592
5608,四維航,20250617,618936,10025252,16.55,16.55,16.10,16.20,-0.20,491
5608,四維航,20250618,622008,10064057,16.10,16.35,16.05,16.10,-0.10,390
5608,四維航,20250619,1066445,16990552,16.10,16.25,15.75,15.75,-0.35,756
5608,四維航,20250620,1103177,17254494,15.80,15.90,15.50,15.60,-0.15,649
