股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6016,康和證,20250602,652000,7559000,11.80,11.80,11.55,11.55,-0.20,378
6016,康和證,20250603,583000,6734000,11.60,11.65,11.50,11.55,0.00,352
6016,康和證,20250604,394000,4595000,11.60,11.70,11.55,11.70,0.15,235
6016,康和證,20250605,480000,5594000,11.70,11.70,11.60,11.65,-0.05,207
6016,康和證,20250606,770000,9016000,11.65,11.75,11.65,11.75,0.10,222
6016,康和證,20250609,508000,5953000,11.80,11.80,11.70,11.70,-0.05,233
6016,康和證,20250610,1032000,12122000,11.75,11.80,11.65,11.75,0.05,301
6016,康和證,20250611,1023000,12048000,11.80,11.85,11.70,11.75,0.00,264
6016,康和證,20250612,359000,4224000,11.75,11.80,11.70,11.80,0.05,166
6016,康和證,20250613,612000,7151000,11.75,11.80,11.65,11.65,-0.15,302
6016,康和證,20250616,615000,7116000,11.65,11.65,11.55,11.55,-0.10,235
6016,康和證,20250617,279000,3242000,11.60,11.70,11.55,11.60,0.05,179
6016,康和證,20250618,326000,3781000,11.60,11.65,11.55,11.65,0.05,161
6016,康和證,20250619,365000,4214000,11.60,11.65,11.50,11.50,-0.15,228
6016,康和證,20250620,802000,9145000,11.50,11.55,11.35,11.40,-0.10,353
