股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6165,浪凡,20250602,723466,42197439,58.80,58.90,57.80,58.60,-0.50,828
6165,浪凡,20250603,1212130,70320510,59.00,59.70,57.00,57.20,-1.40,871
6165,浪凡,20250604,1005364,57859732,57.60,58.70,56.90,56.90,-0.30,772
6165,浪凡,20250605,754804,43416406,56.90,58.10,56.70,57.70,+0.80,616
6165,浪凡,20250606,3188577,176026316,57.50,58.00,53.50,54.80,-2.90,"1,983"
6165,浪凡,20250609,809312,44999674,55.30,56.20,54.80,56.00,+1.20,621
6165,浪凡,20250610,3786134,209897466,56.10,56.80,53.80,55.80,-0.20,"1,787"
6165,浪凡,20250611,894986,50894663,55.60,57.80,55.60,57.80,+2.00,766
6165,浪凡,20250612,1122727,65027609,58.10,59.00,56.50,58.80,+1.00,906
6165,浪凡,20250613,1191844,70205599,58.80,59.70,58.30,59.10,+0.30,829
6165,浪凡,20250616,1151250,68365947,58.90,60.50,58.60,59.10, 0.00,875
6165,浪凡,20250617,1842864,109859959,59.50,60.50,58.80,60.00,+0.90,"1,086"
6165,浪凡,20250618,3201226,195652035,60.40,62.40,59.70,60.70,+0.70,"2,050"
6165,浪凡,20250619,3975213,247815711,60.50,63.40,60.40,62.70,+2.00,"2,278"
6165,浪凡,20250620,7084107,425406228,64.00,64.20,57.00,57.50,-5.20,"4,772"
