股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6166,凌華,20250602,704573,46239559,67.40,67.40,65.00,65.60,-2.10,679
6166,凌華,20250603,354669,23372167,67.00,67.00,65.40,65.70,+0.10,395
6166,凌華,20250604,367245,24701947,66.90,68.00,66.80,67.10,+1.40,420
6166,凌華,20250605,511206,34446231,67.50,68.00,66.60,67.00,-0.10,386
6166,凌華,20250606,379664,25123462,67.00,67.00,65.80,66.20,-0.80,376
6166,凌華,20250609,700363,45418176,66.00,66.00,64.10,65.00,-1.20,627
6166,凌華,20250610,337580,22143708,66.00,66.20,64.90,65.20,+0.20,356
6166,凌華,20250611,515593,33945657,66.50,66.50,65.20,65.60,+0.40,534
6166,凌華,20250612,265437,17414758,65.60,66.40,65.20,65.30,-0.30,381
6166,凌華,20250613,1466234,91962130,65.30,65.30,61.50,61.90,-3.40,"1,408"
6166,凌華,20250616,348273,21777160,61.80,63.30,61.30,63.00,+1.10,370
6166,凌華,20250617,469659,29181296,63.10,63.60,61.50,62.30,-0.70,541
6166,凌華,20250618,207706,12948197,62.40,63.00,61.80,62.50,+0.20,280
6166,凌華,20250619,516754,31704652,62.50,62.50,60.60,61.50,-1.00,587
6166,凌華,20250620,2123863,127729660,61.50,61.60,59.60,60.10,-1.40,519
