股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6192,巨路,20250602,107678,10823036,101.50,101.50,100.00,100.50,-2.00,166
6192,巨路,20250603,84588,8521455,100.50,101.50,100.50,100.50, 0.00,93
6192,巨路,20250604,81426,8250582,101.50,102.00,101.00,101.00,+0.50,93
6192,巨路,20250605,91872,9260798,100.50,101.00,100.50,100.50,-0.50,109
6192,巨路,20250606,36623,3690211,100.50,101.50,100.50,101.00,+0.50,85
6192,巨路,20250609,77569,7858622,101.00,102.00,101.00,101.00, 0.00,111
6192,巨路,20250610,114607,11660887,101.00,102.00,101.00,102.00,+1.00,159
6192,巨路,20250611,250797,25298862,100.50,101.50,100.00,101.00,-1.00,194
6192,巨路,20250612,122954,12371368,101.00,101.00,100.00,100.50,-0.50,108
6192,巨路,20250613,335653,33288640,100.00,100.00,98.60,98.60,-1.90,512
6192,巨路,20250616,155280,15212619,98.60,98.60,97.50,98.00,-0.60,202
6192,巨路,20250617,71584,7030508,98.30,99.00,97.90,98.40,+0.40,104
6192,巨路,20250618,64455,6346701,98.10,98.90,98.00,98.40, 0.00,86
6192,巨路,20250619,176306,17121969,98.00,98.00,96.70,96.70,-1.70,323
6192,巨路,20250620,177244,16955106,96.80,96.80,94.80,96.00,-0.70,279
